stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
1;yolov10l;10;25;1280x720;0.871857;8033.7;31.99;30.9
1;yolov10l;8;20;1280x720;0.872983;8487.4;42.04;28.68
1;yolov10l;8;25;1280x720;0.870292;10491.7;31.87;30.62
1;yolov10l;6;20;1280x720;0.874152;11273.4;37.38;28.82
1;yolov10l;6;25;1280x720;0.874834;14049.1;31.53;30.41
2;yolov10s;22;20;1280x720;0.760434;3327.1;21.1;37.67
2;yolov10s;22;25;1280x720;0.757569;3665.9;23.31;36.54
2;yolov10s;20;20;1280x720;0.75812;4274.5;20.17;37.36
2;yolov10s;20;25;1280x720;0.75983;4714.0;21.04;37.02
2;yolov10s;18;20;1280x720;0.759172;5420.2;20.46;37.03
2;yolov10s;18;25;1280x720;0.75926;5989.4;20.2;38.01
2;yolov10s;16;20;1280x720;0.761312;6855.7;20.78;36.48
2;yolov10s;16;25;1280x720;0.759557;7591.5;20.32;37.27
2;yolov10s;14;20;1280x720;0.757906;8489.7;19.86;37.86
2;yolov10s;14;25;1280x720;0.758681;9417.2;20.58;37.18
2;yolov10s;12;20;1280x720;0.75875;10466.2;20.54;36.44
2;yolov10s;12;25;1280x720;0.758873;11639.3;21.44;37.29
2;yolov10s;10;20;1280x720;0.759239;13079.5;20.13;37.24
2;yolov10s;10;25;1280x720;0.758708;14633.3;20.14;37.24
2;yolov10s;8;20;1280x720;0.759594;15981.9;19.1;36.72
2;yolov10s;8;25;1280x720;0.758984;17950.8;19.44;37.95
2;yolov10s;6;20;1280x720;0.760025;19446.8;19.96;36.12
2;yolov10s;6;25;1280x720;0.760806;22141.7;20.09;37.12
2;yolov10m;22;20;1280x720;0.892569;3327.1;26.47;37.33
2;yolov10m;22;25;1280x720;0.889418;3665.9;26.1;37.83
2;yolov10m;20;20;1280x720;0.891627;4274.5;24.83;38.33
2;yolov10m;20;25;1280x720;0.89224;4714.0;25.91;37.12
2;yolov10m;18;20;1280x720;0.89276;5420.2;26.03;36.65
2;yolov10m;18;25;1280x720;0.893586;5989.4;25.61;37.81
2;yolov10m;16;20;1280x720;0.890383;6855.7;27.68;37.02
2;yolov10m;16;25;1280x720;0.892122;7591.5;25.54;36.69
2;yolov10m;14;20;1280x720;0.891502;8489.7;26.11;37.46
2;yolov10m;14;25;1280x720;0.891723;9417.2;25.82;35.48
2;yolov10m;12;20;1280x720;0.892773;10466.2;26.03;37.8
2;yolov10m;12;25;1280x720;0.89336;11639.3;25.44;36.95
2;yolov10m;10;20;1280x720;0.89225;13079.5;25.59;36.67
2;yolov10m;10;25;1280x720;0.891934;14633.3;25.07;37.51
2;yolov10m;8;20;1280x720;0.892456;15981.9;25.89;35.77
2;yolov10m;8;25;1280x720;0.89372;17950.8;25.15;37.36
2;yolov10m;6;20;1280x720;0.892195;19446.8;24.99;36.24
2;yolov10m;6;25;1280x720;0.892396;22141.7;24.49;36.43
2;yolov10l;22;20;1280x720;0.887639;3327.1;31.36;36.54
2;yolov10l;22;25;1280x720;0.883807;3665.9;33.89;36.38
2;yolov10l;20;20;1280x720;0.887557;4274.5;31.41;36.41
2;yolov10l;20;25;1280x720;0.887132;4714.0;32.63;35.62
2;yolov10l;18;20;1280x720;0.887055;5420.2;30.74;35.25
2;yolov10l;18;25;1280x720;0.887155;5989.4;30.71;36.14
2;yolov10l;16;20;1280x720;0.885334;6855.7;30.68;36.45
2;yolov10l;16;25;1280x720;0.887352;7591.5;28.51;36.74
2;yolov10l;14;20;1280x720;0.885905;8489.7;30.57;37.27
2;yolov10l;14;25;1280x720;0.886713;9417.2;31.25;35.95
2;yolov10l;12;20;1280x720;0.886984;10466.2;32.58;35.47
2;yolov10l;12;25;1280x720;0.887636;11639.3;33.55;35.42
2;yolov10l;10;20;1280x720;0.887224;13079.5;30.17;34.94
2;yolov10l;10;25;1280x720;0.885416;14633.3;29.98;36.44
2;yolov10l;8;20;1280x720;0.887866;15981.9;29.65;35.94
2;yolov10l;8;25;1280x720;0.887214;17950.8;30.24;35.9
2;yolov10l;6;20;1280x720;0.887117;19446.8;30.7;34.44
2;yolov10l;6;25;1280x720;0.88715;22141.7;31.97;34.24
3;yolov10s;22;20;1280x720;0.716117;904.7;22.35;34.61
3;yolov10s;22;25;1280x720;0.708733;1016.5;21.72;34.99
3;yolov10s;20;20;1280x720;0.714308;1142.3;21.88;34.43
3;yolov10s;20;25;1280x720;0.708359;1284.4;20.47;36.13
3;yolov10s;18;20;1280x720;0.708058;1452.6;23.98;32.03
3;yolov10s;18;25;1280x720;0.703821;1635.4;21.79;35.01
3;yolov10s;16;20;1280x720;0.70158;1873.2;20.03;35.06
3;yolov10s;16;25;1280x720;0.709472;2126.4;21.28;34.56
3;yolov10s;14;20;1280x720;0.706325;2251.1;20.6;33.13
3;yolov10s;14;25;1280x720;0.706197;2548.7;20.65;34.56
3;yolov10s;12;20;1280x720;0.71072;2813.3;21.72;34.04
3;yolov10s;12;25;1280x720;0.709008;3181.3;21.77;33.76
3;yolov10s;10;20;1280x720;0.709348;3581.7;20.59;33.54
3;yolov10s;10;25;1280x720;0.709466;4076.4;21.4;34.97
3;yolov10s;8;20;1280x720;0.710248;4449.8;21.86;34.06
3;yolov10s;8;25;1280x720;0.71352;5064.0;20.78;34.78
3;yolov10s;6;20;1280x720;0.709208;5642.6;20.62;34.42
3;yolov10s;6;25;1280x720;0.706931;6509.3;22.02;35.79
3;yolov10m;22;20;1280x720;0.739187;904.7;25.44;34.2
3;yolov10m;22;25;1280x720;0.743737;1016.5;26.91;34.52
3;yolov10m;20;20;1280x720;0.743838;1142.3;26.85;33.49
3;yolov10m;20;25;1280x720;0.73145;1284.4;27.59;34.89
3;yolov10m;18;20;1280x720;0.733627;1452.6;27.81;34.12
3;yolov10m;18;25;1280x720;0.726702;1635.4;25.55;34.41
3;yolov10m;16;20;1280x720;0.732511;1873.2;26.03;34.58
3;yolov10m;16;25;1280x720;0.730425;2126.4;26.93;34.48
3;yolov10m;14;20;1280x720;0.738895;2251.1;26.49;33.91
3;yolov10m;14;25;1280x720;0.734768;2548.7;26.54;34.49
3;yolov10m;12;20;1280x720;0.737598;2813.3;26.72;34.44
3;yolov10m;12;25;1280x720;0.735935;3181.3;26.68;34.23
3;yolov10m;10;20;1280x720;0.735689;3581.7;25.71;35.35
3;yolov10m;10;25;1280x720;0.734241;4076.4;26.73;33.84
3;yolov10m;8;20;1280x720;0.731625;4449.8;28.44;34.55
3;yolov10m;8;25;1280x720;0.736708;5064.0;27.1;34.15
3;yolov10m;6;20;1280x720;0.735495;5642.6;26.86;34.27
3;yolov10m;6;25;1280x720;0.734521;6509.3;25.26;35.43
3;yolov10l;22;20;1280x720;0.806134;904.7;29.62;33.89
3;yolov10l;22;25;1280x720;0.803529;1016.5;30.82;34.8
3;yolov10l;20;20;1280x720;0.798236;1142.3;35.07;32.89
3;yolov10l;20;25;1280x720;0.79418;1284.4;35.37;32.62
3;yolov10l;18;20;1280x720;0.801764;1452.6;31.16;33.35
3;yolov10l;18;25;1280x720;0.794908;1635.4;33.18;33.71
3;yolov10l;16;20;1280x720;0.788515;1873.2;31.65;34.17
3;yolov10l;16;25;1280x720;0.794526;2126.4;31.17;34.98
3;yolov10l;14;20;1280x720;0.796467;2251.1;34.54;32.45
3;yolov10l;14;25;1280x720;0.79271;2548.7;32.65;34.08
3;yolov10l;12;20;1280x720;0.801605;2813.3;31.47;35.1
3;yolov10l;12;25;1280x720;0.800406;3181.3;32.7;34.83
3;yolov10l;10;20;1280x720;0.795403;3581.7;33.1;34.63
3;yolov10l;10;25;1280x720;0.791442;4076.4;32.48;33.67
3;yolov10l;8;20;1280x720;0.791155;4449.8;30.55;32.32
3;yolov10l;8;25;1280x720;0.797594;5064.0;33.08;33.71
3;yolov10l;6;20;1280x720;0.795525;5642.6;30.66;32.98
3;yolov10l;6;25;1280x720;0.792287;6509.3;31.28;34.34
