stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
1;yolov10s;22;20;1280x720;0.831872;1120.5;25.48;4.04
1;yolov10s;22;25;1280x720;0.832655;1349.9;22.05;29.68
1;yolov10s;20;20;1280x720;0.826766;1465.2;27.8;24.25
1;yolov10s;20;25;1280x720;0.828608;1785.5;22.44;27.39
1;yolov10s;18;20;1280x720;0.819275;1987.5;22.47;27.88
1;yolov10s;18;25;1280x720;0.825473;2417.8;21.94;28.28
1;yolov10s;16;20;1280x720;0.827129;2718.2;20.57;24.67
1;yolov10s;16;25;1280x720;0.831881;3329.4;20.67;30.83
1;yolov10s;14;20;1280x720;0.830149;3552.9;21.65;24.41
1;yolov10s;14;25;1280x720;0.830743;4368.1;27.16;30.76
1;yolov10s;12;20;1280x720;0.82942;4740.3;20.64;27.31
1;yolov10s;12;25;1280x720;0.827716;5809.0;20.51;30.65
1;yolov10s;10;20;1280x720;0.824925;6491.6;20.4;28.71
1;yolov10s;10;25;1280x720;0.828794;8033.7;20.42;25.78
1;yolov10s;8;20;1280x720;0.828991;8487.4;19.85;25.73
1;yolov10s;8;25;1280x720;0.823362;10491.7;21.17;27.89
1;yolov10s;6;20;1280x720;0.828111;11273.4;21.29;25.06
1;yolov10s;6;25;1280x720;0.830717;14049.1;20.1;29.53
1;yolov10m;22;20;1280x720;0.862017;1120.5;33.07;13.91
1;yolov10m;22;25;1280x720;0.870105;1349.9;31.13;31.05
1;yolov10m;20;20;1280x720;0.877724;1465.2;30.68;29.26
1;yolov10m;20;25;1280x720;0.868363;1785.5;25.64;30.35
1;yolov10m;18;20;1280x720;0.868489;1987.5;27.5;28.06
1;yolov10m;18;25;1280x720;0.868874;2417.8;26.69;27.19
1;yolov10m;16;20;1280x720;0.866504;2718.2;31.8;29.73
1;yolov10m;16;25;1280x720;0.86504;3329.4;25.32;29.35
1;yolov10m;14;20;1280x720;0.867264;3552.9;33.54;28.94
1;yolov10m;14;25;1280x720;0.864849;4368.1;24.01;30.11
1;yolov10m;12;20;1280x720;0.867828;4740.3;26.61;29.75
1;yolov10m;12;25;1280x720;0.861098;5809.0;29.69;29.0
1;yolov10m;10;20;1280x720;0.862391;6491.6;27.73;28.53
1;yolov10m;10;25;1280x720;0.858042;8033.7;26.77;33.28
1;yolov10m;8;20;1280x720;0.860836;8487.4;26.5;33.67
1;yolov10m;8;25;1280x720;0.860065;10491.7;25.03;30.22
1;yolov10m;6;20;1280x720;0.861577;11273.4;27.34;26.38
1;yolov10m;6;25;1280x720;0.860131;14049.1;27.36;31.4
1;yolov10l;22;20;1280x720;0.878574;1120.5;40.37;12.38
1;yolov10l;22;25;1280x720;0.873759;1349.9;32.88;28.77
1;yolov10l;20;20;1280x720;0.881356;1465.2;40.7;28.84
1;yolov10l;20;25;1280x720;0.877878;1785.5;31.41;30.1
1;yolov10l;18;20;1280x720;0.883991;1987.5;37.62;29.12
1;yolov10l;18;25;1280x720;0.875502;2417.8;31.85;31.1
1;yolov10l;16;20;1280x720;0.879117;2718.2;32.49;28.22
1;yolov10l;16;25;1280x720;0.880607;3329.4;34.0;30.05
1;yolov10l;14;20;1280x720;0.883108;3552.9;37.94;27.1
1;yolov10l;14;25;1280x720;0.876446;4368.1;33.17;30.96
1;yolov10l;12;20;1280x720;0.878688;4740.3;34.99;28.42
1;yolov10l;12;25;1280x720;0.877407;5809.0;31.6;32.0
1;yolov10l;10;20;1280x720;0.868917;6491.6;41.43;26.89
