stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
2;yolov5m;16;20;1280x720;0.87922;6855.7;37.95;41.75
2;yolov5m;16;25;1280x720;0.877412;7591.5;37.91;41.37
2;yolov5m;14;20;1280x720;0.875586;8489.7;37.57;41.4
2;yolov5m;14;25;1280x720;0.877176;9417.2;39.19;41.24
2;yolov5m;12;20;1280x720;0.876691;10466.2;39.01;41.9
2;yolov5m;12;25;1280x720;0.87946;11639.3;37.05;41.85
2;yolov5m;10;20;1280x720;0.875818;13079.5;38.19;41.0
2;yolov5m;10;25;1280x720;0.878451;14633.3;37.84;41.2
2;yolov5m;8;20;1280x720;0.875807;15981.9;39.42;40.69
2;yolov5m;8;25;1280x720;0.875747;17950.8;38.52;40.73
2;yolov5m;6;20;1280x720;0.875113;19446.8;38.23;41.0
2;yolov5m;6;25;1280x720;0.876567;22141.7;37.33;41.18
2;yolov5l;22;20;1280x720;0.914867;3327.1;41.45;41.15
2;yolov5l;22;25;1280x720;0.916164;3665.9;41.5;41.37
2;yolov5l;20;20;1280x720;0.913594;4274.5;42.5;40.67
2;yolov5l;20;25;1280x720;0.913939;4714.0;42.97;41.03
2;yolov5l;18;20;1280x720;0.914542;5420.2;43.95;40.87
2;yolov5l;18;25;1280x720;0.914739;5989.4;43.03;41.01
2;yolov5l;16;20;1280x720;0.914452;6855.7;43.47;41.63
2;yolov5l;16;25;1280x720;0.913356;7591.5;43.11;40.56
2;yolov5l;14;20;1280x720;0.911911;8489.7;40.14;41.79
2;yolov5l;14;25;1280x720;0.913264;9417.2;41.72;41.83
2;yolov5l;12;20;1280x720;0.913126;10466.2;42.79;41.19
2;yolov5l;12;25;1280x720;0.913034;11639.3;42.25;40.22
2;yolov5l;10;20;1280x720;0.912142;13079.5;41.55;40.53
2;yolov5l;10;25;1280x720;0.9127;14633.3;42.15;40.88
2;yolov5l;8;20;1280x720;0.912262;15981.9;41.79;41.0
