stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
1;yolo11s;22;20;1280x720;0.817749;1120.5;51.04;25.5
1;yolo11s;22;25;1280x720;0.809911;1349.9;51.73;30.0
1;yolo11s;20;20;1280x720;0.81954;1465.2;47.29;29.41
1;yolo11s;20;25;1280x720;0.815443;1785.5;42.63;26.89
1;yolo11s;18;20;1280x720;0.808002;1987.5;47.46;29.53
1;yolo11s;18;25;1280x720;0.80961;2417.8;46.99;30.05
1;yolo11s;16;20;1280x720;0.811546;2718.2;43.4;28.71
1;yolo11s;16;25;1280x720;0.808875;3329.4;42.76;29.21
1;yolo11s;14;20;1280x720;0.810839;3552.9;44.75;29.39
1;yolo11s;14;25;1280x720;0.811621;4368.1;51.86;28.41
1;yolo11s;12;20;1280x720;0.816183;4740.3;47.82;29.79
1;yolo11s;12;25;1280x720;0.810121;5809.0;51.58;28.88
1;yolo11s;10;20;1280x720;0.809796;6491.6;46.14;28.24
1;yolo11s;10;25;1280x720;0.806533;8033.7;41.07;30.55
1;yolo11s;8;20;1280x720;0.812389;8487.4;44.19;27.97
1;yolo11s;8;25;1280x720;0.809774;10491.7;49.76;30.0
1;yolo11s;6;20;1280x720;0.810931;11273.4;46.49;29.03
1;yolo11s;6;25;1280x720;0.811053;14049.1;46.58;30.21
1;yolo11m;22;20;1280x720;0.83378;1120.5;44.73;29.03
1;yolo11m;22;25;1280x720;0.834083;1349.9;45.16;30.38
1;yolo11m;20;20;1280x720;0.829622;1465.2;49.12;30.71
1;yolo11m;20;25;1280x720;0.83098;1785.5;50.27;30.71
1;yolo11m;18;20;1280x720;0.843681;1987.5;47.91;31.56
1;yolo11m;18;25;1280x720;0.833695;2417.8;45.74;31.3
1;yolo11m;16;20;1280x720;0.836737;2718.2;46.17;28.53
1;yolo11m;16;25;1280x720;0.834826;3329.4;42.26;30.28
1;yolo11m;14;20;1280x720;0.835808;3552.9;45.47;29.85
1;yolo11m;14;25;1280x720;0.836553;4368.1;46.13;30.77
1;yolo11m;12;20;1280x720;0.839846;4740.3;45.1;30.31
1;yolo11m;12;25;1280x720;0.837708;5809.0;48.07;30.51
1;yolo11m;10;20;1280x720;0.838615;6491.6;48.04;30.42
1;yolo11m;10;25;1280x720;0.834706;8033.7;49.26;31.74
1;yolo11m;8;20;1280x720;0.839321;8487.4;51.16;29.31
1;yolo11m;8;25;1280x720;0.839802;10491.7;46.4;30.24
1;yolo11m;6;20;1280x720;0.843815;11273.4;51.09;29.83
1;yolo11m;6;25;1280x720;0.840084;14049.1;47.57;30.15
1;yolo11l;22;20;1280x720;0.924738;1120.5;54.33;30.92
