stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
1;yolov8s;22;20;1280x720;0.828784;1120.5;47.79;26.37
1;yolov8s;22;25;1280x720;0.829115;1349.9;42.29;34.82
1;yolov8s;20;20;1280x720;0.823714;1465.2;41.21;31.81
1;yolov8s;20;25;1280x720;0.823373;1785.5;45.42;34.45
1;yolov8s;18;20;1280x720;0.826429;1987.5;42.48;32.65
1;yolov8s;18;25;1280x720;0.826619;2417.8;40.3;34.84
1;yolov8s;16;20;1280x720;0.828361;2718.2;40.44;32.39
1;yolov8s;16;25;1280x720;0.831269;3329.4;42.28;34.33
1;yolov8s;14;20;1280x720;0.830354;3552.9;47.32;32.55
1;yolov8s;14;25;1280x720;0.831689;4368.1;44.49;33.1
1;yolov8s;12;20;1280x720;0.819927;4740.3;39.88;33.4
1;yolov8s;12;25;1280x720;0.828925;5809.0;38.91;33.41
1;yolov8s;10;20;1280x720;0.832038;6491.6;39.7;32.97
1;yolov8s;10;25;1280x720;0.828729;8033.7;41.2;32.38
1;yolov8s;8;20;1280x720;0.824625;8487.4;45.26;31.61
1;yolov8s;8;25;1280x720;0.824993;10491.7;41.55;32.02
1;yolov8s;6;20;1280x720;0.822198;11273.4;38.87;33.03
1;yolov8s;6;25;1280x720;0.827375;14049.1;42.89;32.23
1;yolov8m;22;20;1280x720;0.902873;1120.5;48.25;33.09
1;yolov8m;22;25;1280x720;0.904077;1349.9;47.94;34.76
1;yolov8m;20;20;1280x720;0.905559;1465.2;48.96;32.29
1;yolov8m;20;25;1280x720;0.895768;1785.5;56.06;33.12
1;yolov8m;18;20;1280x720;0.900539;1987.5;48.45;33.94
1;yolov8m;18;25;1280x720;0.892822;2417.8;45.05;34.44
1;yolov8m;16;20;1280x720;0.894774;2718.2;46.35;34.22
1;yolov8m;16;25;1280x720;0.899905;3329.4;43.9;35.85
1;yolov8m;14;20;1280x720;0.897607;3552.9;52.52;32.92
1;yolov8m;14;25;1280x720;0.888516;4368.1;47.59;33.66
1;yolov8m;12;20;1280x720;0.891598;4740.3;55.85;32.38
1;yolov8m;12;25;1280x720;0.895363;5809.0;52.41;32.77
1;yolov8m;10;20;1280x720;0.897984;6491.6;50.85;31.31
1;yolov8m;10;25;1280x720;0.894941;8033.7;51.44;33.37
1;yolov8m;8;20;1280x720;0.895823;8487.4;45.98;34.27
1;yolov8m;8;25;1280x720;0.896774;10491.7;50.53;34.05
1;yolov8m;6;20;1280x720;0.90012;11273.4;46.15;32.59
1;yolov8m;6;25;1280x720;0.898703;14049.1;45.5;35.12
1;yolov8l;22;20;1280x720;0.888271;1120.5;50.11;31.94
1;yolov8l;22;25;1280x720;0.887958;1349.9;51.8;34.24
1;yolov8l;20;20;1280x720;0.894955;1465.2;52.26;32.74
1;yolov8l;20;25;1280x720;0.885047;1785.5;53.9;34.28
1;yolov8l;18;20;1280x720;0.887955;1987.5;54.41;30.61
1;yolov8l;18;25;1280x720;0.889476;2417.8;52.54;34.68
1;yolov8l;16;20;1280x720;0.891168;2718.2;45.68;34.45
1;yolov8l;16;25;1280x720;0.891198;3329.4;51.5;34.28
1;yolov8l;14;20;1280x720;0.884172;3552.9;60.43;32.81
1;yolov8l;14;25;1280x720;0.882841;4368.1;55.59;34.67
1;yolov8l;12;20;1280x720;0.884836;4740.3;52.26;34.77
1;yolov8l;12;25;1280x720;0.889737;5809.0;48.78;33.28
1;yolov8l;10;20;1280x720;0.880979;6491.6;51.94;33.82
1;yolov8l;10;25;1280x720;0.88263;8033.7;55.34;35.26
1;yolov8l;8;20;1280x720;0.878203;8487.4;48.48;32.83
1;yolov8l;8;25;1280x720;0.88261;10491.7;47.97;34.41
1;yolov8l;6;20;1280x720;0.891091;11273.4;61.25;32.54
1;yolov8l;6;25;1280x720;0.887841;14049.1;57.95;33.22
2;yolov8s;22;20;1280x720;0.833029;3327.1;32.86;43.66
2;yolov8s;22;25;1280x720;0.831521;3665.9;35.4;43.78
2;yolov8s;20;20;1280x720;0.832505;4274.5;34.35;42.78
2;yolov8s;20;25;1280x720;0.831743;4714.0;38.55;42.8
2;yolov8s;18;20;1280x720;0.831407;5420.2;34.75;44.2
2;yolov8s;18;25;1280x720;0.830171;5989.4;38.95;43.26
2;yolov8s;16;20;1280x720;0.829214;6855.7;33.83;43.73
2;yolov8s;16;25;1280x720;0.829213;7591.5;34.65;43.68
