stream;model;QP;FPS;Resolution;Accuracy;Bitrate;Latency;GPU_load
2;yolov8s;14;20;1280x720;0.828067;8489.7;34.53;42.13
2;yolov8s;14;25;1280x720;0.829242;9417.2;36.95;42.79
2;yolov8s;12;20;1280x720;0.829438;10466.2;34.79;43.55
2;yolov8s;12;25;1280x720;0.83108;11639.3;34.43;43.62
2;yolov8s;10;20;1280x720;0.828296;13079.5;33.86;43.36
2;yolov8s;10;25;1280x720;0.82948;14633.3;34.24;43.68
2;yolov8s;8;20;1280x720;0.829221;15981.9;34.76;43.88
2;yolov8s;8;25;1280x720;0.829485;17950.8;31.95;42.71
2;yolov8s;6;20;1280x720;0.83026;19446.8;35.63;43.73
2;yolov8s;6;25;1280x720;0.829098;22141.7;33.33;43.0
2;yolov8m;22;20;1280x720;0.883832;3327.1;38.12;43.11
2;yolov8m;22;25;1280x720;0.883288;3665.9;36.93;44.18
2;yolov8m;20;20;1280x720;0.884239;4274.5;37.99;43.58
2;yolov8m;20;25;1280x720;0.881349;4714.0;38.24;42.62
2;yolov8m;18;20;1280x720;0.884605;5420.2;37.16;42.84
2;yolov8m;18;25;1280x720;0.883117;5989.4;37.54;43.06
2;yolov8m;16;20;1280x720;0.882564;6855.7;35.46;42.83
2;yolov8m;16;25;1280x720;0.88289;7591.5;37.81;43.7
2;yolov8m;14;20;1280x720;0.881918;8489.7;39.88;42.53
2;yolov8m;14;25;1280x720;0.884514;9417.2;37.64;43.73
2;yolov8m;12;20;1280x720;0.883184;10466.2;39.63;42.6
2;yolov8m;12;25;1280x720;0.882291;11639.3;37.31;43.62
2;yolov8m;10;20;1280x720;0.883325;13079.5;36.2;43.43
2;yolov8m;10;25;1280x720;0.883707;14633.3;36.35;42.67
2;yolov8m;8;20;1280x720;0.883842;15981.9;35.12;43.39
2;yolov8m;8;25;1280x720;0.883344;17950.8;35.51;43.62
2;yolov8m;6;20;1280x720;0.882924;19446.8;36.93;43.55
2;yolov8m;6;25;1280x720;0.882668;22141.7;36.26;42.84
2;yolov8l;22;20;1280x720;0.927883;3327.1;39.86;43.4
2;yolov8l;22;25;1280x720;0.925979;3665.9;39.88;43.39
2;yolov8l;20;20;1280x720;0.926817;4274.5;39.84;43.43
2;yolov8l;20;25;1280x720;0.925632;4714.0;41.04;43.65
2;yolov8l;18;20;1280x720;0.926578;5420.2;41.03;43.11
2;yolov8l;18;25;1280x720;0.925957;5989.4;40.24;42.83
2;yolov8l;16;20;1280x720;0.926429;6855.7;41.65;43.21
2;yolov8l;16;25;1280x720;0.924783;7591.5;38.84;43.13
2;yolov8l;14;20;1280x720;0.925493;8489.7;40.87;43.07
2;yolov8l;14;25;1280x720;0.925654;9417.2;38.16;43.82
2;yolov8l;12;20;1280x720;0.92483;10466.2;41.47;42.84
2;yolov8l;12;25;1280x720;0.924699;11639.3;39.68;43.6
2;yolov8l;10;20;1280x720;0.925265;13079.5;40.37;43.14
2;yolov8l;10;25;1280x720;0.924504;14633.3;42.1;42.63
2;yolov8l;8;20;1280x720;0.925821;15981.9;40.01;43.04
2;yolov8l;8;25;1280x720;0.924934;17950.8;41.08;42.83
2;yolov8l;6;20;1280x720;0.925274;19446.8;40.55;42.64
2;yolov8l;6;25;1280x720;0.92486;22141.7;39.06;42.86
3;yolov8s;22;20;1280x720;0.646362;904.7;27.39;45.04
3;yolov8s;22;25;1280x720;0.646047;1016.5;25.94;46.47
3;yolov8s;20;20;1280x720;0.648209;1142.3;26.12;44.27
3;yolov8s;20;25;1280x720;0.651986;1284.4;26.75;45.96
3;yolov8s;18;20;1280x720;0.645874;1452.6;27.68;45.03
3;yolov8s;18;25;1280x720;0.650395;1635.4;27.09;45.3
3;yolov8s;16;20;1280x720;0.650981;1873.2;27.18;45.59
3;yolov8s;16;25;1280x720;0.653135;2126.4;28.41;45.04
3;yolov8s;14;20;1280x720;0.649705;2251.1;26.67;44.69
3;yolov8s;14;25;1280x720;0.655094;2548.7;25.18;45.18
3;yolov8s;12;20;1280x720;0.654851;2813.3;28.15;44.08
3;yolov8s;12;25;1280x720;0.658066;3181.3;26.87;45.92
3;yolov8s;10;20;1280x720;0.649618;3581.7;27.1;45.59
3;yolov8s;10;25;1280x720;0.653073;4076.4;28.4;44.44
3;yolov8s;8;20;1280x720;0.653176;4449.8;28.64;45.04
3;yolov8s;8;25;1280x720;0.652682;5064.0;27.43;44.97
3;yolov8s;6;20;1280x720;0.650538;5642.6;26.29;45.38
3;yolov8s;6;25;1280x720;0.652566;6509.3;27.78;44.85
3;yolov8m;22;20;1280x720;0.761408;904.7;33.49;44.22
3;yolov8m;22;25;1280x720;0.742352;1016.5;32.83;45.22
3;yolov8m;20;20;1280x720;0.755039;1142.3;32.35;45.09
3;yolov8m;20;25;1280x720;0.750974;1284.4;32.1;44.6
3;yolov8m;18;20;1280x720;0.761097;1452.6;32.71;44.76
3;yolov8m;18;25;1280x720;0.752374;1635.4;32.52;44.81
3;yolov8m;16;20;1280x720;0.754303;1873.2;34.58;45.0
3;yolov8m;16;25;1280x720;0.750124;2126.4;33.63;44.79
3;yolov8m;14;20;1280x720;0.754833;2251.1;30.58;44.95
3;yolov8m;14;25;1280x720;0.74902;2548.7;32.6;44.17
3;yolov8m;12;20;1280x720;0.747691;2813.3;32.96;44.49
3;yolov8m;12;25;1280x720;0.749617;3181.3;33.86;44.06
3;yolov8m;10;20;1280x720;0.748931;3581.7;32.43;44.43
3;yolov8m;10;25;1280x720;0.747129;4076.4;33.06;43.99
3;yolov8m;8;20;1280x720;0.754715;4449.8;33.9;43.89
3;yolov8m;8;25;1280x720;0.751955;5064.0;32.44;44.79
3;yolov8m;6;20;1280x720;0.75209;5642.6;32.29;44.42
3;yolov8m;6;25;1280x720;0.749524;6509.3;31.98;44.91
3;yolov8l;22;20;1280x720;0.801075;904.7;36.26;45.15
3;yolov8l;22;25;1280x720;0.809235;1016.5;35.62;45.74
3;yolov8l;20;20;1280x720;0.802915;1142.3;36.69;44.96
3;yolov8l;20;25;1280x720;0.800672;1284.4;36.92;45.13
3;yolov8l;18;20;1280x720;0.805395;1452.6;39.97;44.25
3;yolov8l;18;25;1280x720;0.803843;1635.4;36.79;44.88
3;yolov8l;16;20;1280x720;0.805193;1873.2;34.35;45.04
3;yolov8l;16;25;1280x720;0.802827;2126.4;38.13;43.37
3;yolov8l;14;20;1280x720;0.802124;2251.1;33.73;45.7
3;yolov8l;14;25;1280x720;0.804856;2548.7;37.53;45.31
3;yolov8l;12;20;1280x720;0.800212;2813.3;36.51;45.65
3;yolov8l;12;25;1280x720;0.801296;3181.3;34.66;45.72
3;yolov8l;10;20;1280x720;0.797661;3581.7;35.59;46.17
3;yolov8l;10;25;1280x720;0.799087;4076.4;35.87;45.7
3;yolov8l;8;20;1280x720;0.80407;4449.8;35.14;45.31
3;yolov8l;8;25;1280x720;0.796001;5064.0;36.46;44.53
3;yolov8l;6;20;1280x720;0.797219;5642.6;36.63;44.44
3;yolov8l;6;25;1280x720;0.796443;6509.3;33.43;45.6
